langpair,n,perlang_rankminmax_pearson_vs_raw,perlang_rankminmax_spearman_vs_raw,perlang_rankminmax_kendall_vs_raw,perlang_z_minmax_pearson_vs_raw,perlang_z_minmax_spearman_vs_raw,perlang_z_minmax_kendall_vs_raw,global_minmax_pearson_vs_raw,global_minmax_spearman_vs_raw,global_minmax_kendall_vs_raw,dev_isotonic_pearson_vs_raw,dev_isotonic_spearman_vs_raw,perlang_isotonic_pearson_vs_raw,perlang_isotonic_spearman_vs_raw
fi-es,17542,0.962622928243244,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,,,,
fi-el,17542,0.9617916748197443,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
cs-de_DE,12339,0.9353682747938682,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
cs-uk_UA,9720,0.9058109451182128,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,,,,
en-cs_CZ,9216,0.9346612520692847,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
en-sr_Cyrl_RS,8964,0.9454333021092388,1.0,1.0,0.9999999999999999,1.0,1.0,0.9999999999999997,1.0,1.0,,,,
en-bho_IN,8964,0.9627469831556595,1.0,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,1.0,,,,
ja-zh_CN,8658,0.7665662977477212,1.0,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,,,,
en-it_IT,8632,0.962603346394405,1.0,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999998,1.0,0.9999999999999999,,,,
en-ja_JP,8300,0.8446355029647994,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,0.9999999999999998,1.0,0.9999999999999999,,,,
en-zh_CN,8300,0.9211222235646989,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999999,1.0,1.0,,,,
en-ko_KR,8300,0.8773521048510068,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,0.9999999999999997,1.0,0.9999999999999999,,,,
en-is_IS,8300,0.8808385367358835,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,,,,
en-ar_EG,7968,0.9314774388935627,0.9999999999999998,1.0,0.9999999999999998,0.9999999999999998,1.0,0.9999999999999999,0.9999999999999998,1.0,,,,
en-et_EE,7968,0.853733323836245,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,,,,
en-mas_KE,7636,0.885096655813712,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,,,,
en-ru_RU,7304,0.915138902640026,1.0,1.0,0.9999999999999996,1.0,1.0,0.9999999999999994,1.0,1.0,,,,
en-uk_UA,6972,0.9007877792210304,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,1.0,1.0,,,,
en-ja,5984,0.9174189752743409,0.9999999999999999,0.9999999999999998,0.9999999999999999,0.9999999999999999,0.9999999999999998,0.9999999999999999,0.9999999999999999,0.9999999999999998,,,,
en-zh,5984,0.9657985857693483,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
ja-zh,1336,0.9432674643392459,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,,,,
pt-nya,1242,0.9749260637060589,1.0,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,1.0,,,,
en-kin,1210,0.9597599184121772,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,,,,
en-yor,1206,0.9911187702370975,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,,,,
en-twi,1200,0.8616359644432101,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,,,,
en-luo,1199,0.9482841952889158,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,,,,
en-hau,1192,0.8965153479854969,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,,,,
fr-wol,1175,0.9254119024693516,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,,,,
en-kik,1172,0.9772743408890441,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
en-amh,1166,0.8437183004520371,1.0,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,1.0,,,,
fr-ewe,1077,0.8601220764759542,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
pt-vmw,930,0.9566177394823155,0.9999999999999998,1.0,1.0,0.9999999999999998,1.0,0.9999999999999999,0.9999999999999998,1.0,,,,
cs-en,80,0.9836025935797935,1.0,0.9999999999999999,0.9999999999999998,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,,,,
cs-en_US,80,0.9836423627083766,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,,,,
cs-en_GB,80,0.983586279339893,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,,,,
